idgroup,pdefault,grpmem,gch2,gfem,gage,gurb,gysch,gmar,glcons,ghhsz,municode,grpFFcl,_merge,ffclmem,_Imunicode_2,_Imunicode_3,_Imunicode_4,_Imunicode_5,_Imunicode_6,_Imunicode_7,_Imunicode_8,_Imunicode_9,_Imunicode_10,_Imunicode_11,_Imunicode_12,_Imunicode_13,_Imunicode_14,_Imunicode_15,_Imunicode_16,_Imunicode_17,_Imunicode_18,_Imunicode_19,_Imunicode_20,_Imunicode_21,_Imunicode_22,_Imunicode_23,_Imunicode_24,_Imunicode_25,_Imunicode_26,_Imunicode_27,_Imunicode_28,_Imunicode_29,_Imunicode_30,_Imunicode_31,_Imunicode_32,_Imunicode_33,_Imunicode_34,_Imunicode_35,_Imunicode_36,_Imunicode_37,_Imunicode_38,_Imunicode_39,_Imunicode_40,_Imunicode_41,_Imunicode_42,_Imunicode_43,_Imunicode_44,_Imunicode_45,_Imunicode_46,_Imunicode_48,_Imunicode_49,_Imunicode_50,_Imunicode_51,_Imunicode_52,_Imunicode_53,_Imunicode_54,_Imunicode_55,_Imunicode_56,_Imunicode_57,_Imunicode_58,_Imunicode_59,_Imunicode_60,_Imunicode_61,_Imunicode_62,_Imunicode_63,_Imunicode_64,_Imunicode_65,_Imunicode_66,_Imunicode_67,_Imunicode_68,_Imunicode_69,_Imunicode_70
211,0,2,2.5,1,42,1,2,1,12.847901,8.5,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,2,5,1,50,1,4,1,12.704,9,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,2,2.5,1,36,0,5,1,13.153614,4,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,5,3.5999999,1,41.599998,.80000001,1.4,.80000001,12.536415,7.5999999,4,.2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,3,2.6666667,1,45.666668,0,2.6666667,.66666669,12.720121,5.3333335,4,.33333334,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,.083333336,14,5,.91666669,37.083332,.33333334,3.3333333,.91666669,12.955251,8.416667,5,.060606062,3,.84848487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,.2,5,4.4000001,1,38.599998,0,2.8,.60000002,12.800523,7.5999999,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0,8,3,1,44.75,.375,3.375,.625,13.027625,8.5,6,.035714287,3,.2857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,.083333336,12,2.9166667,.58333331,42.333332,.083333336,2.6666667,.83333331,12.78538,8.833333,6,.075757578,3,.90909094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,0,8,3.375,.625,45.875,.5,2.125,.75,12.946545,7.375,6,.10714286,3,.85714287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
