municode,iid,choice1,blue1,win1,group,grpmem,cogrpmem,idgroup,choice2,blue2,win2,renegade,renegadewin,head,urbr_2,female,yage,ysch,married,tcons,lcons,survhhsz,familyoutdeg,friendsoutdeg,insample
3,302,4,1,9000,1,2,1,301,1,0,3000,0,0,0,0,1,35,4,1,416057.81,12.93858,3,0,0,1
4,405,1,0,3000,1,5,4,401,3,0,2400,0,0,0,1,1,37,3,1,94624.656,11.457673,8,0,3,1
4,401,3,0,2400,1,5,4,401,6,1,12000,0,0,1,0,1,60,0,0,323688.25,12.687536,10,0,2,1
4,402,6,1,12000,1,5,4,401,4,0,1800,0,0,0,1,1,48,0,1,232025.86,12.354604,9,0,1,1
4,403,3,1,7200,1,5,4,401,4,0,1800,0,0,0,1,1,33,2,1,394698.13,12.885877,7,0,2,1
4,404,1,0,3000,1,5,4,401,1,0,3000,0,0,0,1,1,30,2,1,595041.88,13.296387,4,0,3,1
4,407,5,1,11000,1,3,2,403,2,0,2700,0,0,1,0,1,49,0,0,114575.49,11.64899,3,0,2,1
4,408,6,1,12000,1,3,2,403,4,0,1800,0,0,0,0,1,47,4,1,483428.06,13.088657,6,0,2,1
4,413,5,0,1000,1,3,2,403,2,0,2700,0,0,0,0,1,41,4,1,675167.81,13.422716,7,0,2,1
5,506,2,1,5700,1,14,13,501,6,1,12000,0,0,1,0,1,45,4,0,192582.64,12.168281,10,0,2,1
5,507,3,0,2400,1,14,13,501,6,0,0,0,0,0,0,1,30,1,1,517039.28,13.155874,7,0,0,1
5,503,3,1,7200,1,14,13,501,3,1,7200,0,0,0,1,1,41,3,1,717364.75,13.483339,9,0,1,1
5,502,5,0,1000,1,14,13,501,6,0,0,0,0,0,1,1,40,1,1,434713.28,12.982442,9,0,1,1
5,509,6,0,0,1,14,13,501,4,0,1800,0,0,0,1,1,31,5,1,536537.81,13.192892,6,0,3,1
5,508,6,1,12000,1,14,13,501,6,1,12000,0,0,1,1,0,53,0,1,98341.047,11.496197,13,0,1,1
5,511,5,1,11000,1,14,13,501,5,0,1000,0,0,0,0,1,37,0,1,438392.97,12.990871,14,0,2,1
5,510,4,0,1800,1,14,13,501,6,1,12000,1,1,0,0,1,31,6,1,383801.34,12.857881,9,0,1,1
5,504,2,0,2700,1,14,13,501,2,1,5700,0,0,0,0,1,34,5,1,322099.84,12.682617,7,0,1,1
5,514,3,1,7200,1,14,13,501,6,1,12000,0,0,1,0,1,39,4,1,497326.88,13.117002,8,0,1,1
5,505,4,1,9000,1,14,13,501,4,0,1800,0,0,0,0,1,38,6,1,977105.81,13.79235,6,0,0,1
5,512,6,0,0,1,14,13,501,6,1,12000,0,0,0,0,1,26,5,1,761666.25,13.543263,3,1,2,1
6,611,6,1,12000,1,5,4,601,6,0,0,0,0,1,0,1,45,4,0,601557.38,13.307277,6,0,1,1
6,612,2,0,2700,1,5,4,601,2,1,5700,0,0,1,0,1,47,2,0,168997.27,12.037638,5,0,0,1
6,613,2,1,5700,1,5,4,601,4,1,9000,1,1,0,0,1,31,4,1,587937.69,13.284376,8,0,3,1
6,610,6,1,12000,1,5,4,601,6,0,0,0,0,0,0,1,38,0,1,590726.88,13.289109,11,0,1,1
6,609,3,1,7200,1,5,4,601,4,0,1800,0,0,0,0,1,32,4,1,177054.39,12.084212,8,0,0,1
6,625,2,0,2700,1,8,7,602,4,1,9000,0,0,0,1,1,43,0,1,461475.03,13.042183,8,0,3,1
6,623,1,0,3000,1,8,7,602,1,0,3000,1,0,1,1,1,39,0,0,221652.97,12.308868,6,1,2,1
6,622,2,0,2700,1,8,7,602,1,0,3000,0,0,0,1,1,48,0,1,264295.91,12.484824,3,0,3,1
